Sr,Date,month,year,Index,Open,High,Low,Close,Volume,Adjusted,RSI,pSAR
1314,20-03-2012,Mar,2012,TM,84.43,84.860001,84.099998,84.660004,303800,74.425499,46.28,268.02512
1315,21-03-2012,Mar,2012,TM,84.07,84.230003,83.790001,83.959999,283500,73.81012,52.73,266.52961
1316,22-03-2012,Mar,2012,TM,83.970001,84.720001,83.959999,84.43,516900,74.223282,44.1,265.12383
1317,23-03-2012,Mar,2012,TM,83.360001,83.760002,82.970001,83.760002,437500,73.63427,47.47,263.8024
1318,26-03-2012,Mar,2012,TM,84.190002,84.589996,83.800003,84.349998,559000,74.152969,42.28,243.10001
1319,27-03-2012,Mar,2012,TM,85.860001,86,85.400002,85.639999,487600,75.91703,46.25,243.67501
1320,28-03-2012,Mar,2012,TM,87.099998,87.139999,86.209999,86.699997,731500,76.856697,43.6,244.91601
1321,29-03-2012,Mar,2012,TM,85.800003,86.169998,85.440002,86.059998,376000,76.28936,42.73,246.10737
1322,30-03-2012,Mar,2012,TM,87.120003,87.150002,86.540001,86.82,270400,76.963074,50.51,247.25107
1323,02-04-2012,Apr,2012,TM,85.660004,86.980003,85.629997,86.690002,554800,76.847832,51.86,248.34903
1324,03-04-2012,Apr,2012,TM,86.660004,86.769997,85.739998,86.220001,437400,76.43119,54.29,249.40307
1325,04-04-2012,Apr,2012,TM,83.769997,83.849998,82.970001,83.599998,627000,74.108643,51.82,250.41495
1326,05-04-2012,Apr,2012,TM,83.300003,83.93,83.220001,83.860001,329800,74.339111,#N/A,251.38635
1327,09-04-2012,Apr,2012,TM,81.610001,82.029999,81.400002,81.699997,440400,72.424347,46.18,252.3189
1328,10-04-2012,Apr,2012,TM,81.959999,82.419998,80.690002,80.940002,745300,71.750648,46.83,253.21414
1329,11-04-2012,Apr,2012,TM,82.419998,82.589996,81.760002,82.510002,479700,73.142403,45.75,254.07358
1330,12-04-2012,Apr,2012,TM,82.169998,83.110001,82.019997,83.010002,331200,73.585625,49.49,254.89863
1331,13-04-2012,Apr,2012,TM,81.879997,81.900002,81.07,81.419998,448200,72.17614,44.86,255.39999
1332,16-04-2012,Apr,2012,TM,81.800003,81.849998,81.040001,81.239998,267700,72.016579,46.32,256.86999
1333,17-04-2012,Apr,2012,TM,81.110001,81.959999,80.940002,81.440002,339000,72.193886,51.05,258.88039
1334,18-04-2012,Apr,2012,TM,81.309998,81.839996,81.209999,81.550003,396300,72.291397,51.79,282
1335,19-04-2012,Apr,2012,TM,82.459999,82.739998,81.660004,81.790001,413500,72.504135,54.15,281.537
1336,20-04-2012,Apr,2012,TM,81.019997,81.18,80.5,80.540001,620900,71.396057,50.73,281.08326
1337,23-04-2012,Apr,2012,TM,79.419998,79.540001,78.910004,79.43,634500,70.412079,44.2,280.6386
1338,24-04-2012,Apr,2012,TM,80.779999,81.080002,80.470001,80.730003,354900,71.564476,46.02,279.43705
1339,25-04-2012,Apr,2012,TM,80.989998,81.400002,80.879997,81.360001,330800,72.122955,44.55,278.28357
1340,26-04-2012,Apr,2012,TM,80.940002,82.010002,80.940002,81.830002,199900,72.539597,43.61,275.31756
1341,27-04-2012,Apr,2012,TM,82.080002,82.489998,81.870003,82.290001,292600,72.947372,43.76,272.5295
